num_pendulums,network,batch,norm_sq,num_params,eig_val
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
1,CHNN,0,619.901611328125,132610,1.0
