network,batch,norm_sq,num_params,eig_val
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
CHNN,0,695.7589721679688,135173,1.0
