n_train,Network,Series,Batch,Geometric Mean
10,CHNN,avg_rel_err_pert,89,3.256449924226643e-05
10,CHNN,avg_rel_err_pert,90,3.816560933489089e-05
10,CHNN,avg_rel_err_pert,91,3.801386101198961e-05
10,CHNN,avg_rel_err_pert,92,0.00010471329652679212
10,CHNN,avg_rel_err_pert,93,7.547302256228432e-05
10,CHNN,avg_rel_err_pert,94,6.0149207275700045e-05
10,CHNN,avg_rel_err_pert,95,2.0309012005993267e-05
10,CHNN,avg_rel_err_pert,96,6.377252335082024e-05
10,CHNN,avg_rel_err_pert,97,2.631353275799506e-05
10,CHNN,avg_rel_err_pert,98,1.546259299708498e-05
10,CHNN,avg_rel_err_pert,99,6.328072005936846e-05
10,CHNN,avg_rel_err_pred,0,0.3024676711274039
10,CHNN,avg_rel_err_pred,1,0.010582648049014999
10,CHNN,avg_rel_err_pred,2,0.20034721211291698
10,CHNN,avg_rel_err_pred,3,0.009621751315742914
10,CHNN,avg_rel_err_pred,4,0.004702946071600493
10,CHNN,avg_rel_err_pred,5,0.021496130531583984
10,CHNN,avg_rel_err_pred,6,0.004612627255981421
10,CHNN,avg_rel_err_pred,7,0.004895219715661404
10,CHNN,avg_rel_err_pred,8,0.020076501735965032
10,CHNN,avg_rel_err_pred,9,0.005631971847690374
10,CHNN,avg_rel_err_pred,10,0.009136977785720755
10,CHNN,avg_rel_err_pred,11,0.44980275080056653
10,CHNN,avg_rel_err_pred,12,0.026216467681836216
10,CHNN,avg_rel_err_pred,13,0.022775835260390148
10,CHNN,avg_rel_err_pred,14,0.004948438023317588
10,CHNN,avg_rel_err_pred,15,0.15667938723570793
10,CHNN,avg_rel_err_pred,16,0.021075546741359075
10,CHNN,avg_rel_err_pred,17,0.007970356467511352
10,CHNN,avg_rel_err_pred,18,0.006273614439768599
10,CHNN,avg_rel_err_pred,19,0.006260923680580415
10,CHNN,avg_rel_err_pred,20,0.004487126937035222
10,CHNN,avg_rel_err_pred,21,0.007113461971456668
10,CHNN,avg_rel_err_pred,22,0.007527765994005569
10,CHNN,avg_rel_err_pred,23,0.028952724987518868
10,CHNN,avg_rel_err_pred,24,0.009472571295826182
10,CHNN,avg_rel_err_pred,25,0.007013036204019252
10,CHNN,avg_rel_err_pred,26,0.008551588708186647
10,CHNN,avg_rel_err_pred,27,0.03354012545818206
10,CHNN,avg_rel_err_pred,28,0.004470334051252396
